image,tag,score
0,"lakeside, lakeshore",0.7325487732887268
0,boathouse,0.10267845541238785
0,"valley, vale",0.008473873138427734
0,steel arch bridge,0.006660813465714455
0,castle,0.005854520946741104
0,viaduct,0.005834347568452358
0,pier,0.005124136805534363
0,"dam, dike, dyke",0.003988134674727917
0,canoe,0.0033301529474556446
0,suspension bridge,0.0031952213030308485
0,palace,0.002808369928970933
0,pole,0.002591537544503808
0,"dock, dockage, docking facility",0.002206415869295597
0,water snake,0.001675202394835651
0,"barracouta, snoek",0.0014197123236954212
0,reel,0.0012977939331904054
0,"promontory, headland, head, foreland",0.0012853203807026148
0,"paddle, boat paddle",0.0012777155498042703
0,"sandbar, sand bar",0.0011640018783509731
0,mud turtle,0.0011330473935231566
0,crane,0.0010289978235960007
0,"paddlewheel, paddle wheel",0.0010275200475007296
0,"electric ray, crampfish, numbfish, torpedo",0.001026600250042975
0,"flagpole, flagstaff",0.0009625254897400737
0,"greenhouse, nursery, glasshouse",0.0008978418190963566
0,"American alligator, Alligator mississipiensis",0.000865441863425076
0,park bench,0.0008628467912785709
0,balloon,0.0008299356559291482
0,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",0.0008289077668450773
0,"seashore, coast, seacoast, sea-coast",0.0007996818167157471
0,"common newt, Triturus vulgaris",0.0007903649238869548
0,rapeseed,0.0007805741624906659
0,chainlink fence,0.0007647672318853438
0,earthstar,0.0007501970394514501
0,"bullfrog, Rana catesbeiana",0.0007235362427309155
0,safe,0.0007167918956838548
0,wreck,0.0006943994085304439
0,ladle,0.0006717704236507416
0,"gar, garfish, garpike, billfish, Lepisosteus osseus",0.0006326978327706456
0,fountain,0.0006192922592163086
0,rotisserie,0.0006147727253846824
0,"crayfish, crawfish, crawdad, crawdaddy",0.0006113853887654841
0,terrapin,0.0006112655391916633
0,"church, church building",0.0005981914000585675
0,umbrella,0.0005586849292740226
0,"tench, Tinca tinca",0.00055393559159711
0,"European fire salamander, Salamandra salamandra",0.000540168141014874
0,screwdriver,0.0005020241951569915
0,"American egret, great white heron, Egretta albus",0.0004905482637695968
0,chain,0.00047337671276181936
0,"worm fence, snake fence, snake-rail fence, Virginia fence",0.00047197568346746266
0,goose,0.00042332848533988
0,planetarium,0.0004199852701276541
0,totem pole,0.0004075529577676207
0,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.00040196513873524964
0,"maze, labyrinth",0.0003875090042129159
0,"bannister, banister, balustrade, balusters, handrail",0.0003859813150484115
0,stingray,0.0003815148666035384
0,vault,0.0003633401356637478
0,obelisk,0.00035829737316817045
0,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",0.00034461391624063253
